--uniqueID,zoneID,areaID,
45,85,161,
71,40,108,
78,40,920,
84,0,0,
87,12,54,
88,12,57,
97,1,135,
98,33,100,
100,85,155,
101,1519,1519,
107,1519,1519,
145,130,236,
168,1,135,
169,1,135,
171,38,556,
173,130,240,
175,11,836,
178,36,280,
196,33,301,
197,12,57,
284,1519,1519,
286,38,923,
324,1,1,
342,12,54,
362,8,74,
382,1519,1519,
446,8,8,
482,44,98,
523,1,1,
562,12,87,
610,85,85,
612,85,85,
614,85,160,
682,44,69,
702,1519,1519,
704,1519,1519,
707,10,42,
708,267,271,
710,1,2102,
712,38,2101,
713,11,2104,
719,85,2119,
720,130,228,
721,267,272,
802,11,150,
803,11,150,
844,8,75,
862,33,35,
902,3,1898,
1042,47,349,
1103,33,35,
1104,1,1,
1125,1519,1519,
1205,47,355,
1426,4,4,
1427,4,2517,
1428,4,2517,
1429,4,2517,
1446,4,2517,
1466,25,25,
1468,25,25,
1506,46,249,
1606,3,340,
1646,45,321,
2146,0,0,
2173,1519,1519,
2175,1537,1537,
2214,139,139,
2216,139,2279,
2217,139,2279,
2246,28,199,
2248,28,200,
2250,28,202,
2252,28,201,
2387,8,8,
2412,36,1683,
2413,36,36,
2532,1519,1519,
2567,28,2298,
2626,28,199,
2627,28,199,
2628,28,199,
2629,28,200,
2630,28,200,
2631,28,200,
2632,28,202,
2633,28,202,
2634,28,202,
2635,28,201,
2636,28,201,
2637,28,201,
2647,28,190,
2706,139,2626,
2707,139,2626,
2726,139,2260,
2746,1519,1519,
2786,1519,1519,
3066,267,267,
3106,36,3486,
3366,28,190,
3367,28,190,
3528,25,25,
3529,25,25,
3530,1519,1519,
3547,1497,1497,
3548,38,146,
3552,40,115,
3606,25,25,
3690,47,3317,
3847,25,25,
3886,33,117,
3928,33,19,
3953,45,320,
3954,45,321,
3991,85,153,
4017,10,856,
4026,1,809,
4028,85,85,
4029,33,35,
4030,11,150,
4032,1519,1519,
4055,139,2277,
4057,139,2277,
4058,139,2268,
4092,12,12,
4094,12,12,
4095,12,12,
4096,12,12,
4098,1,1,
4099,1,1,
4100,85,85,
4131,41,2562,
4135,41,2562,
4189,1497,1497,
4294,139,2271,
4354,4,72,
4409,139,139,
4712,1,1,
4715,1,1,
4716,1,1,
4718,1,1,
4733,1519,1519,
4734,1519,1519,
4769,1537,1537,
4770,1537,1537,
4772,1537,1537,
4774,1537,1537,
4786,1,131,
4787,1,1,
4788,1,131,
4789,1,1,
4820,1,1,
205,215,360,
216,17,386,
217,141,188,
218,141,260,
219,141,478,
220,141,264,
223,148,449,
224,148,449,
225,148,449,
228,17,17,
230,148,446,
231,148,148,
232,148,148,
233,148,2077,
234,148,455,
235,148,2077,
236,148,2077,
237,148,2077,
238,148,456,
239,331,331,
244,17,1717,
246,400,400,
257,148,2077,
302,15,503,
303,15,15,
422,405,405,
442,17,1316,
522,17,720,
527,1657,1657,
542,141,702,
709,15,513,
715,141,186,
716,148,442,
717,331,415,
722,215,222,
742,17,380,
743,17,392,
843,14,362,
924,440,978,
942,400,400,
943,400,400,
944,400,400,
982,17,378,
1022,406,460,
1023,440,976,
1024,357,1116,
1025,357,1099,
1387,16,1228,
1388,16,1220,
